form	lemma	POS	morph
ཕྱག་	ཕྱག་	NOUN
ཆེན་	ཆེན་	NO_POS
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ཞལ་ཁྲིད་	ཞལ་ཁྲིད་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
དང་པོ་པ་	དང་པོ་པ་	ADJ
རྣམས་	རྣམས་	DET
འཇུག་	འཇུག་	VERB
བདེ་བ་	བདེ་བ་	VERB
འི་	གི་	PART
ལམ་བཟང་	ལམ་བཟང་	OTHER
ངེས་དོན་	ངེས་དོན་	NOUN
དགོངས་	དགོངས་	VERB
རྒྱན་	རྒྱན་	NOUN
།		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
འབོ་	འབོ་	OTHER
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
ཀརྨ་	ཀརྨ་	NO_POS
ངེས་དོན་	ངེས་དོན་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
བློ་གྲོས་	བློ་གྲོས་	NOUN
།		PUNCT
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
"།
༄༅། །"		PUNCT
དེང་	དེང་	ADV
གི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	ལ་	PART
གོ་ལ་	གོ་ལ་	OTHER
འི་	གི་	PART
ཁྱོན་	ཁྱོན་	NOUN
གྱི་	གི་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
མི་	མི་	PART
འི་	གི་	PART
སྤྱི་ཚོགས་	སྤྱི་ཚོགས་	OTHER
སུ་	ལ་	PART
ཕྱི་	ཕྱི་	NOUN
འི་	གི་	PART
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
དང་	དང་	NO_POS
དེང་དུས་	དེང་དུས་	OTHER
ཤེས་ཡོན་	ཤེས་ཡོན་	OTHER
སོགས་	སོགས་	DET
གང་	གང་	NO_POS
སྤྱི་		
སྔ་རབས་པ་	སྔ་རབས་པ་	OTHER
དག་	དག་	DET
གི་	གི་	PART
དྲན་པ་	དྲན་པ་	VERB
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
དུའང་		NON_WORD
འཆར་	འཆར་	NO_POS
མ་	མ་	PART
མྱོང་བ་	མྱོང་བ་	VERB
འི་	གི་	PART
ཡ་	ཡ་	OTHER
རྒྱ་	རྒྱ་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
དང་	དང་	NO_POS
ཆབས་ཅིག་	ཆབས་ཅིག་	NO_POS
སྤྱི་ཚོགས་	སྤྱི་ཚོགས་	OTHER
དང་	དང་	NO_POS
སྒེར་པ་	སྒེར་པ་	OTHER
གང་ས་	གང་ས་	NO_POS
ན་	ནས་	PART
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
རིག་གནས་	རིག་གནས་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འཕགས་	འཕགས་	VERB
བོད་	བོད་	PROPN
སྐྱེས་ཆེན་	སྐྱེས་ཆེན་	OTHER
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
གསུང་	གསུང་	VERB
རྣམས་	རྣམས་	DET
དཔེ་དེབ་	དཔེ་དེབ་	NOUN
རྒྱ་	རྒྱ་	VERB
བསྡུ་	བསྡུ་	VERB
མང་ཉུང་	མང་ཉུང་	NOUN
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
ཤིག་	ཅིག་	PART
སྤངས་	སྤངས་	VERB
ན་	ནས་	PART
ཤ་མོང་	ཤ་མོང་	NO_POS
བརྡོལ་བ་	བརྡོལ་བ་	VERB
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
སྤ་	སྤ་	NOUN
སྐྲུན་	སྐྲུན་	NO_POS
བྱ་	བྱ་	VERB
དང་	དང་	NO_POS
བྱེད་	བྱེད་	VERB
བཞིན་པ་	བཞིན་པ་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
ངལ་	ངལ་	VERB
གྲོན་	གྲོན་	NO_POS
དོན་མེད་	དོན་མེད་	ADJ
ཀྱི་	གི་	PART
སྐྱ་	སྐྱ་	VERB
ར་	ལ་	PART
སྤ་	སྤ་	NOUN
དགོས་པ་	དགོས་པ་	VERB
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
ལ་	ལ་	PART
།		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
འཛིན་	འཛིན་	VERB
ཞིང་	ཅིང་	PART
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
གོ་འཕང་	གོ་འཕང་	NOUN
མངོན་དུ་	མངོན་དུ་	NO_POS
མཛད་	མཛད་	VERB
ཟིན་པ་	ཟིན་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
གོང་མ་	གོང་མ་	ADJ
དུ་མ་	དུ་མ་	ADJ
འི་	གི་	PART
ཐུགས་རྒྱུད་	ཐུགས་རྒྱུད་	NOUN
དུ་	ལ་	PART
འཁྲུངས་པ་	འཁྲུངས་པ་	VERB
འི་	གི་	PART
ཉམས་མྱོང་	ཉམས་མྱོང་	NOUN
རྣམས་	རྣམས་	DET
རྗེས་འཇུག་	རྗེས་འཇུག་	NOUN
བུ་སློབ་	བུ་སློབ་	NOUN
དག་	དག་	DET
ལ་	ལ་	PART
ཐུགས་	ཐུགས་	NOUN
བརྩེ་བ་	བརྩེ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
གདམས་པ་	གདམས་པ་	VERB
ར་	ལ་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
གོ་	གོ་	PART
བདེ་	བདེ་	VERB
དོན་	དོན་	NOUN
གསལ་	གསལ་	VERB
གྱི་	གི་	PART
གདམས་	གདམས་	NOUN
ཟབ་	ཟབ་	VERB
དཔག་	དཔག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
ཞིག་	ཅིག་	PART
སྒྲ་འཛིན་	སྒྲ་འཛིན་	OTHER
འཁོར་	འཁོར་	NOUN
ཐག་	ཐག་	VERB
སོགས་	སོགས་	DET
སུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྔ་	སྔ་	NOUN
སྤ་	སྤ་	NOUN
དུ་	ལ་	PART
བསྐྲུན་	བསྐྲུན་	NO_POS
ཟིན་	ཟིན་	VERB
ན་	ལ་	PART
ཡང་ཆ་	ཡང་ཆ་	NO_POS
ལག་	ལག་	NOUN
མ་ཚང་	མ་ཚང་	NO_POS
ཞིང་	ཅིང་	PART
མ་	མ་	PART
དག་པ་	དག་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དཔེ་	དཔེ་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
དཀོན་པ་	དཀོན་པ་	NO_POS
འི་	གི་	PART
རིགས་	རིགས་	NOUN
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
ཅིག་	ཅིག་	PART
སྒྲ་	སྒྲ་	NOUN
ཕབ་	ཕབ་	VERB
དང་	དང་	NO_POS
།		PUNCT
